customer_id,country,customer_key
13085,United Kingdom,1
13078,United Kingdom,2
15362,United Kingdom,3
18102,United Kingdom,4
12682,France,5
18087,United Kingdom,6
13635,United Kingdom,7
14110,United Kingdom,8
12636,Usa,9
17519,United Kingdom,10
13758,United Kingdom,11
12362,Belgium,12
15413,United Kingdom,13
16321,Australia,14
17592,United Kingdom,15
16167,United Kingdom,16
17865,United Kingdom,17
13767,United Kingdom,18
13293,United Kingdom,19
17238,United Kingdom,20
16011,United Kingdom,21
13916,United Kingdom,22
15712,United Kingdom,23
15311,United Kingdom,24
16329,United Kingdom,25
15461,United Kingdom,26
17700,United Kingdom,27
14911,Eire,28
15998,United Kingdom,29
12931,United Kingdom,30
15614,United Kingdom,31
12533,Germany,32
16128,United Kingdom,33
16714,United Kingdom,34
17984,United Kingdom,35
14748,United Kingdom,36
14871,United Kingdom,37
13394,United Kingdom,38
12615,France,39
15299,United Kingdom,40
16393,United Kingdom,41
14040,United Kingdom,42
15796,United Kingdom,43
12913,United Kingdom,44
15091,United Kingdom,45
15061,United Kingdom,46
14292,United Kingdom,47
14341,United Kingdom,48
17804,United Kingdom,49
14156,Eire,50
13599,United Kingdom,51
13768,United Kingdom,52
17641,United Kingdom,53
17063,United Kingdom,54
13545,United Kingdom,55
16955,United Kingdom,56
15719,United Kingdom,57
12490,France,58
15793,United Kingdom,59
17056,United Kingdom,60
13526,United Kingdom,61
14654,United Kingdom,62
17998,United Kingdom,63
17742,United Kingdom,64
15326,United Kingdom,65
14478,United Kingdom,66
15005,United Kingdom,67
15967,United Kingdom,68
17611,United Kingdom,69
15051,United Kingdom,70
13097,United Kingdom,71
13590,United Kingdom,72
14030,United Kingdom,73
15984,United Kingdom,74
17091,United Kingdom,75
16887,United Kingdom,76
12921,United Kingdom,77
14621,United Kingdom,78
14543,United Kingdom,79
15945,United Kingdom,80
18037,United Kingdom,81
15662,United Kingdom,82
15380,United Kingdom,83
16422,United Kingdom,84
13711,United Kingdom,85
16150,United Kingdom,86
13110,United Kingdom,87
12836,United Kingdom,88
18287,United Kingdom,89
15254,United Kingdom,90
16620,United Kingdom,91
12758,Portugal,92
14558,United Kingdom,93
17961,United Kingdom,94
17485,United Kingdom,95
15601,United Kingdom,96
13585,United Kingdom,97
13442,United Kingdom,98
13381,United Kingdom,99
16763,United Kingdom,100
17345,United Kingdom,101
17243,United Kingdom,102
14865,United Kingdom,103
13819,United Kingdom,104
15750,United Kingdom,105
15808,United Kingdom,106
17191,United Kingdom,107
13748,United Kingdom,108
15265,United Kingdom,109
17428,United Kingdom,110
15485,United Kingdom,111
17246,United Kingdom,112
14061,United Kingdom,113
14108,United Kingdom,114
13648,United Kingdom,115
16563,United Kingdom,116
16701,United Kingdom,117
12842,United Kingdom,118
14302,United Kingdom,119
14135,United Kingdom,120
14831,United Kingdom,121
15602,United Kingdom,122
13777,United Kingdom,123
14000,United Kingdom,124
16823,United Kingdom,125
16163,United Kingdom,126
17193,United Kingdom,127
15759,United Kingdom,128
16131,United Kingdom,129
14560,United Kingdom,130
12523,France,131
17019,United Kingdom,132
17087,United Kingdom,133
14894,United Kingdom,134
15353,United Kingdom,135
16202,United Kingdom,136
16700,United Kingdom,137
17511,United Kingdom,138
12755,Japan,139
14299,United Kingdom,140
17949,United Kingdom,141
14799,United Kingdom,142
16550,United Kingdom,143
12980,United Kingdom,144
14425,United Kingdom,145
17818,United Kingdom,146
13623,United Kingdom,147
13654,United Kingdom,148
17189,United Kingdom,149
13269,United Kingdom,150
14653,United Kingdom,151
15542,United Kingdom,152
13564,United Kingdom,153
16467,United Kingdom,154
15833,United Kingdom,155
14527,United Kingdom,156
17476,United Kingdom,157
15287,United Kingdom,158
14440,United Kingdom,159
15680,United Kingdom,160
15581,United Kingdom,161
13740,United Kingdom,162
13070,United Kingdom,163
17768,United Kingdom,164
12948,United Kingdom,165
16797,United Kingdom,166
14667,United Kingdom,167
17377,United Kingdom,168
14467,United Kingdom,169
13457,United Kingdom,170
18108,United Kingdom,171
16210,United Kingdom,172
17867,United Kingdom,173
14669,United Kingdom,174
17909,United Kingdom,175
16086,United Kingdom,176
16711,United Kingdom,177
14739,United Kingdom,178
16233,United Kingdom,179
14204,United Kingdom,180
17606,United Kingdom,181
16126,United Kingdom,182
17412,United Kingdom,183
16525,United Kingdom,184
13313,United Kingdom,185
12435,Denmark,186
14549,United Kingdom,187
14106,United Kingdom,188
14980,United Kingdom,189
14396,United Kingdom,190
14122,United Kingdom,191
16987,United Kingdom,192
12471,Germany,193
17809,United Kingdom,194
15917,United Kingdom,195
14987,United Kingdom,196
14080,United Kingdom,197
16200,United Kingdom,198
15794,United Kingdom,199
15523,United Kingdom,200
15615,United Kingdom,201
18001,United Kingdom,202
17841,United Kingdom,203
13089,United Kingdom,204
15989,United Kingdom,205
17660,United Kingdom,206
12437,France,207
14841,United Kingdom,208
14646,Netherlands,209
15482,United Kingdom,210
16156,United Kingdom,211
17716,United Kingdom,212
12779,Poland,213
13611,United Kingdom,214
15255,United Kingdom,215
14771,United Kingdom,216
14838,United Kingdom,217
13979,United Kingdom,218
13800,United Kingdom,219
14483,United Kingdom,220
14915,United Kingdom,221
13753,United Kingdom,222
16301,United Kingdom,223
13931,United Kingdom,224
12705,Germany,225
17035,United Kingdom,226
15194,United Kingdom,227
14347,United Kingdom,228
12934,United Kingdom,229
12484,Spain,230
14895,United Kingdom,231
15291,United Kingdom,232
17209,United Kingdom,233
