invoicedate,year,month,day,hour,weekday,date_key
2009-12-01 07:45:00,2009,12,1,7,Tue,1
2009-12-01 07:46:00,2009,12,1,7,Tue,2
2009-12-01 09:06:00,2009,12,1,9,Tue,3
2009-12-01 09:08:00,2009,12,1,9,Tue,4
2009-12-01 09:24:00,2009,12,1,9,Tue,5
2009-12-01 09:28:00,2009,12,1,9,Tue,6
2009-12-01 09:43:00,2009,12,1,9,Tue,7
2009-12-01 09:44:00,2009,12,1,9,Tue,8
2009-12-01 09:46:00,2009,12,1,9,Tue,9
2009-12-01 09:50:00,2009,12,1,9,Tue,10
2009-12-01 09:55:00,2009,12,1,9,Tue,11
2009-12-01 09:57:00,2009,12,1,9,Tue,12
2009-12-01 10:06:00,2009,12,1,10,Tue,13
2009-12-01 10:10:00,2009,12,1,10,Tue,14
2009-12-01 10:18:00,2009,12,1,10,Tue,15
2009-12-01 10:33:00,2009,12,1,10,Tue,16
2009-12-01 10:36:00,2009,12,1,10,Tue,17
2009-12-01 10:44:00,2009,12,1,10,Tue,18
2009-12-01 10:46:00,2009,12,1,10,Tue,19
2009-12-01 10:49:00,2009,12,1,10,Tue,20
2009-12-01 10:52:00,2009,12,1,10,Tue,21
2009-12-01 10:55:00,2009,12,1,10,Tue,22
2009-12-01 10:59:00,2009,12,1,10,Tue,23
2009-12-01 11:04:00,2009,12,1,11,Tue,24
2009-12-01 11:10:00,2009,12,1,11,Tue,25
2009-12-01 11:17:00,2009,12,1,11,Tue,26
2009-12-01 11:21:00,2009,12,1,11,Tue,27
2009-12-01 11:34:00,2009,12,1,11,Tue,28
2009-12-01 11:35:00,2009,12,1,11,Tue,29
2009-12-01 11:37:00,2009,12,1,11,Tue,30
2009-12-01 11:41:00,2009,12,1,11,Tue,31
2009-12-01 11:45:00,2009,12,1,11,Tue,32
2009-12-01 11:46:00,2009,12,1,11,Tue,33
2009-12-01 11:48:00,2009,12,1,11,Tue,34
2009-12-01 11:50:00,2009,12,1,11,Tue,35
2009-12-01 11:51:00,2009,12,1,11,Tue,36
2009-12-01 11:56:00,2009,12,1,11,Tue,37
2009-12-01 11:57:00,2009,12,1,11,Tue,38
2009-12-01 11:58:00,2009,12,1,11,Tue,39
2009-12-01 12:02:00,2009,12,1,12,Tue,40
2009-12-01 12:09:00,2009,12,1,12,Tue,41
2009-12-01 12:11:00,2009,12,1,12,Tue,42
2009-12-01 12:13:00,2009,12,1,12,Tue,43
2009-12-01 12:14:00,2009,12,1,12,Tue,44
2009-12-01 12:18:00,2009,12,1,12,Tue,45
2009-12-01 12:19:00,2009,12,1,12,Tue,46
2009-12-01 12:20:00,2009,12,1,12,Tue,47
2009-12-01 12:22:00,2009,12,1,12,Tue,48
2009-12-01 12:30:00,2009,12,1,12,Tue,49
2009-12-01 12:33:00,2009,12,1,12,Tue,50
2009-12-01 12:35:00,2009,12,1,12,Tue,51
2009-12-01 12:36:00,2009,12,1,12,Tue,52
2009-12-01 12:41:00,2009,12,1,12,Tue,53
2009-12-01 12:43:00,2009,12,1,12,Tue,54
2009-12-01 12:44:00,2009,12,1,12,Tue,55
2009-12-01 12:47:00,2009,12,1,12,Tue,56
2009-12-01 12:52:00,2009,12,1,12,Tue,57
2009-12-01 12:54:00,2009,12,1,12,Tue,58
2009-12-01 12:55:00,2009,12,1,12,Tue,59
2009-12-01 12:56:00,2009,12,1,12,Tue,60
2009-12-01 12:57:00,2009,12,1,12,Tue,61
2009-12-01 13:07:00,2009,12,1,13,Tue,62
2009-12-01 13:09:00,2009,12,1,13,Tue,63
2009-12-01 13:13:00,2009,12,1,13,Tue,64
2009-12-01 13:14:00,2009,12,1,13,Tue,65
2009-12-01 13:16:00,2009,12,1,13,Tue,66
2009-12-01 13:19:00,2009,12,1,13,Tue,67
2009-12-01 13:20:00,2009,12,1,13,Tue,68
2009-12-01 13:28:00,2009,12,1,13,Tue,69
2009-12-01 13:29:00,2009,12,1,13,Tue,70
2009-12-01 13:31:00,2009,12,1,13,Tue,71
2009-12-01 13:37:00,2009,12,1,13,Tue,72
2009-12-01 13:38:00,2009,12,1,13,Tue,73
2009-12-01 13:40:00,2009,12,1,13,Tue,74
2009-12-01 13:41:00,2009,12,1,13,Tue,75
2009-12-01 13:43:00,2009,12,1,13,Tue,76
2009-12-01 13:47:00,2009,12,1,13,Tue,77
2009-12-01 13:48:00,2009,12,1,13,Tue,78
2009-12-01 13:49:00,2009,12,1,13,Tue,79
2009-12-01 13:50:00,2009,12,1,13,Tue,80
2009-12-01 13:52:00,2009,12,1,13,Tue,81
2009-12-01 14:01:00,2009,12,1,14,Tue,82
2009-12-01 14:02:00,2009,12,1,14,Tue,83
2009-12-01 14:14:00,2009,12,1,14,Tue,84
2009-12-01 14:17:00,2009,12,1,14,Tue,85
2009-12-01 14:19:00,2009,12,1,14,Tue,86
2009-12-01 14:20:00,2009,12,1,14,Tue,87
2009-12-01 14:35:00,2009,12,1,14,Tue,88
2009-12-01 14:40:00,2009,12,1,14,Tue,89
2009-12-01 14:47:00,2009,12,1,14,Tue,90
2009-12-01 14:48:00,2009,12,1,14,Tue,91
2009-12-01 14:52:00,2009,12,1,14,Tue,92
2009-12-01 14:53:00,2009,12,1,14,Tue,93
2009-12-01 14:56:00,2009,12,1,14,Tue,94
2009-12-01 14:59:00,2009,12,1,14,Tue,95
2009-12-01 15:18:00,2009,12,1,15,Tue,96
2009-12-01 15:19:00,2009,12,1,15,Tue,97
2009-12-01 15:26:00,2009,12,1,15,Tue,98
2009-12-01 15:34:00,2009,12,1,15,Tue,99
2009-12-01 15:36:00,2009,12,1,15,Tue,100
2009-12-01 16:05:00,2009,12,1,16,Tue,101
2009-12-01 16:17:00,2009,12,1,16,Tue,102
2009-12-01 16:18:00,2009,12,1,16,Tue,103
2009-12-01 16:26:00,2009,12,1,16,Tue,104
2009-12-01 16:30:00,2009,12,1,16,Tue,105
2009-12-01 16:34:00,2009,12,1,16,Tue,106
2009-12-01 16:44:00,2009,12,1,16,Tue,107
2009-12-01 16:48:00,2009,12,1,16,Tue,108
2009-12-01 17:08:00,2009,12,1,17,Tue,109
2009-12-01 17:19:00,2009,12,1,17,Tue,110
2009-12-01 17:28:00,2009,12,1,17,Tue,111
2009-12-01 17:31:00,2009,12,1,17,Tue,112
2009-12-01 17:45:00,2009,12,1,17,Tue,113
2009-12-01 17:50:00,2009,12,1,17,Tue,114
2009-12-01 18:03:00,2009,12,1,18,Tue,115
2009-12-01 18:07:00,2009,12,1,18,Tue,116
2009-12-01 18:13:00,2009,12,1,18,Tue,117
2009-12-01 18:35:00,2009,12,1,18,Tue,118
2009-12-01 19:19:00,2009,12,1,19,Tue,119
2009-12-02 08:15:00,2009,12,2,8,Wed,120
2009-12-02 08:16:00,2009,12,2,8,Wed,121
2009-12-02 08:58:00,2009,12,2,8,Wed,122
2009-12-02 09:21:00,2009,12,2,9,Wed,123
2009-12-02 09:23:00,2009,12,2,9,Wed,124
2009-12-02 09:35:00,2009,12,2,9,Wed,125
2009-12-02 09:47:00,2009,12,2,9,Wed,126
2009-12-02 09:49:00,2009,12,2,9,Wed,127
2009-12-02 09:50:00,2009,12,2,9,Wed,128
2009-12-02 09:57:00,2009,12,2,9,Wed,129
2009-12-02 10:00:00,2009,12,2,10,Wed,130
2009-12-02 10:02:00,2009,12,2,10,Wed,131
2009-12-02 10:08:00,2009,12,2,10,Wed,132
2009-12-02 10:09:00,2009,12,2,10,Wed,133
2009-12-02 10:15:00,2009,12,2,10,Wed,134
2009-12-02 10:28:00,2009,12,2,10,Wed,135
2009-12-02 10:34:00,2009,12,2,10,Wed,136
2009-12-02 10:41:00,2009,12,2,10,Wed,137
2009-12-02 10:42:00,2009,12,2,10,Wed,138
2009-12-02 10:46:00,2009,12,2,10,Wed,139
2009-12-02 10:48:00,2009,12,2,10,Wed,140
2009-12-02 10:51:00,2009,12,2,10,Wed,141
2009-12-02 10:52:00,2009,12,2,10,Wed,142
2009-12-02 10:55:00,2009,12,2,10,Wed,143
2009-12-02 10:58:00,2009,12,2,10,Wed,144
2009-12-02 11:07:00,2009,12,2,11,Wed,145
2009-12-02 11:09:00,2009,12,2,11,Wed,146
2009-12-02 11:18:00,2009,12,2,11,Wed,147
2009-12-02 11:20:00,2009,12,2,11,Wed,148
2009-12-02 11:24:00,2009,12,2,11,Wed,149
2009-12-02 11:26:00,2009,12,2,11,Wed,150
2009-12-02 11:31:00,2009,12,2,11,Wed,151
2009-12-02 11:33:00,2009,12,2,11,Wed,152
2009-12-02 11:34:00,2009,12,2,11,Wed,153
2009-12-02 11:36:00,2009,12,2,11,Wed,154
2009-12-02 11:43:00,2009,12,2,11,Wed,155
2009-12-02 11:45:00,2009,12,2,11,Wed,156
2009-12-02 11:47:00,2009,12,2,11,Wed,157
2009-12-02 11:48:00,2009,12,2,11,Wed,158
2009-12-02 11:51:00,2009,12,2,11,Wed,159
2009-12-02 11:52:00,2009,12,2,11,Wed,160
2009-12-02 11:53:00,2009,12,2,11,Wed,161
2009-12-02 11:55:00,2009,12,2,11,Wed,162
2009-12-02 11:59:00,2009,12,2,11,Wed,163
2009-12-02 12:06:00,2009,12,2,12,Wed,164
2009-12-02 12:09:00,2009,12,2,12,Wed,165
2009-12-02 12:13:00,2009,12,2,12,Wed,166
2009-12-02 12:15:00,2009,12,2,12,Wed,167
2009-12-02 12:19:00,2009,12,2,12,Wed,168
2009-12-02 12:22:00,2009,12,2,12,Wed,169
2009-12-02 12:23:00,2009,12,2,12,Wed,170
2009-12-02 12:26:00,2009,12,2,12,Wed,171
2009-12-02 12:28:00,2009,12,2,12,Wed,172
2009-12-02 12:32:00,2009,12,2,12,Wed,173
2009-12-02 12:34:00,2009,12,2,12,Wed,174
2009-12-02 12:38:00,2009,12,2,12,Wed,175
2009-12-02 12:39:00,2009,12,2,12,Wed,176
2009-12-02 12:43:00,2009,12,2,12,Wed,177
2009-12-02 12:44:00,2009,12,2,12,Wed,178
2009-12-02 12:46:00,2009,12,2,12,Wed,179
2009-12-02 12:47:00,2009,12,2,12,Wed,180
2009-12-02 12:54:00,2009,12,2,12,Wed,181
2009-12-02 13:00:00,2009,12,2,13,Wed,182
2009-12-02 13:02:00,2009,12,2,13,Wed,183
2009-12-02 13:06:00,2009,12,2,13,Wed,184
2009-12-02 13:10:00,2009,12,2,13,Wed,185
2009-12-02 13:20:00,2009,12,2,13,Wed,186
2009-12-02 13:22:00,2009,12,2,13,Wed,187
2009-12-02 13:23:00,2009,12,2,13,Wed,188
2009-12-02 13:26:00,2009,12,2,13,Wed,189
2009-12-02 13:32:00,2009,12,2,13,Wed,190
2009-12-02 13:33:00,2009,12,2,13,Wed,191
2009-12-02 13:34:00,2009,12,2,13,Wed,192
2009-12-02 13:39:00,2009,12,2,13,Wed,193
2009-12-02 13:51:00,2009,12,2,13,Wed,194
2009-12-02 13:53:00,2009,12,2,13,Wed,195
2009-12-02 13:57:00,2009,12,2,13,Wed,196
2009-12-02 13:58:00,2009,12,2,13,Wed,197
2009-12-02 14:06:00,2009,12,2,14,Wed,198
2009-12-02 14:09:00,2009,12,2,14,Wed,199
2009-12-02 14:15:00,2009,12,2,14,Wed,200
2009-12-02 14:21:00,2009,12,2,14,Wed,201
2009-12-02 14:22:00,2009,12,2,14,Wed,202
2009-12-02 14:34:00,2009,12,2,14,Wed,203
2009-12-02 14:43:00,2009,12,2,14,Wed,204
2009-12-02 14:52:00,2009,12,2,14,Wed,205
2009-12-02 14:55:00,2009,12,2,14,Wed,206
2009-12-02 14:56:00,2009,12,2,14,Wed,207
2009-12-02 15:01:00,2009,12,2,15,Wed,208
2009-12-02 15:04:00,2009,12,2,15,Wed,209
2009-12-02 15:10:00,2009,12,2,15,Wed,210
2009-12-02 15:15:00,2009,12,2,15,Wed,211
2009-12-02 15:16:00,2009,12,2,15,Wed,212
2009-12-02 15:17:00,2009,12,2,15,Wed,213
2009-12-02 15:28:00,2009,12,2,15,Wed,214
2009-12-02 15:29:00,2009,12,2,15,Wed,215
2009-12-02 15:38:00,2009,12,2,15,Wed,216
2009-12-02 15:41:00,2009,12,2,15,Wed,217
